Source,Sector,Subsector,City,County,Local Air Authority,2012 total emissions (MTCO2e),2012 biogenic carbon dioxide (MTCO2e),2013 total emissions (MTCO2e),2013 biogenic carbon dioxide (MTCO2e),2014 total emissions (MTCO2e),2014 biogenic carbon dioxide (MTCO2e),2015 total emissions (MTCO2e),2015 biogenic carbon dioxide (MTCO2e),2016 total emissions (MTCO2e),2016 biogenic carbon dioxide (MTCO2e),2017 total emissions (MTCO2e),2017 biogenic carbon dioxide (MTCO2e)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,Chemicals,Nitric Acid Production,Kennewick,Benton,Benton Clean Air Agency,146926,0,154497,0,132249,0,155888,0,151371,0,144290,0
Air Liquide  - Anacortes,Chemicals,Hydrogen Production,Anacortes,Skagit,Northwest Clean Air Agency,63356,0,58995,0,64110,0,64413,0,60209,0,63461,0
Alcoa Intalco Works - Ferndale,Metals,Aluminum Production,Ferndale,Whatcom,Ecology: Industrial Section,1146835,0,1234637,0,1326684,0,1195786,0,1261364,0,1091665,0
Alcoa Wenatchee Works - Malaga,Metals,Aluminum Production,Malaga,Chelan,Ecology: Industrial Section,306333,0,318542,0,354692,0,331207,0,898,0,0,0
Alon Asphalt Company - Seattle,Petroleum and Natural Gas Systems,Other Petroleum and Natural Gas Systems,Seattle,King,Puget Sound Clean Air Agency,15138,0,14336,0,16004,0,13688,0,14096,0,14818,0
Ardagh Glass Inc. - Seattle,Minerals,Glass Production,Seattle,King,Puget Sound Clean Air Agency,76257,0,80745,0,78044,0,76674,0,77845,0,75338,0
Ascensus Specialties LLC - Elma,Chemicals,Other Chemicals,Elma,Grays Harbor,Olympic Region Clean Air Agency,16809,0,17966,0,21231,0,17600,0,20802,0,21310,0
Ash Grove Cement Company - Seattle,Minerals,Cement Production,Seattle,King,Puget Sound Clean Air Agency,305298,0,354808,0,522982,0,495030,0,383836,0,355513,0
Avista Corporation - WA State DOE Reporting - statewide,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,Spokane,Spokane,Spokane Regional Clean Air Agency,20992,0,16127,0,16420,0,22858,0,21120,0,23757,0
Basic American Foods - Moses Lake,Food Production,Potato Products,Moses Lake,Grant,Ecology: Eastern Regional Office,28205,0,28312,0,28982,0,31063,0,28977,0,30576,0
"Bio Energy Washington, LLC - Maple Valley",Power Plants,"Other Power, Heating, or Cooling Plants",Maple Valley,King,Puget Sound Clean Air Agency,13697,12800,28341,27018,28302,27006,30802,29306,29216,27510,28391,26962
Boeing Commercial Airplanes - Everett,Manufacturing,Transportation,Everett,Snohomish,Puget Sound Clean Air Agency,71463,0,73643,0,73522,0,66276,0,76191,0,80529,0
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,Manufacturing,Transportation,Puyallup,Pierce,Puget Sound Clean Air Agency,22582,0,21969,0,21442,0,20833,0,19831,0,19893,0
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",Wood Products,Lumber Mills,Kettle Falls,Stevens,Ecology: Eastern Regional Office,41052,40173,56886,56136,57413,56656,57294,56539,53752,53043,54397,53680
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",Wood Products,Engineered Wood,Kettle Falls,Stevens,Ecology: Eastern Regional Office,68360,64637,71186,68156,71069,68040,71151,68501,73564,70714,70889,54924
Boise Paper - Wallula,Pulp and Paper,Kraft Mills,Wallula,Walla Walla,Ecology: Industrial Section,925349,791371,830754,727045,887912,765685,855520,717427,804657,645182,681208,528740
Bonneville Power Administration - WA Only - statewide,Power Plants,Use of Electrical Equipment,Vancouver,Clark,Southwest Clean Air Agency,26927,0,42114,0,12800,0,14245,0,17121,0,15069,0
Boulder Park Generating Station - Spokane Valley,Power Plants,"Other Power, Heating, or Cooling Plants",Spokane Valley,Spokane,Spokane Regional Clean Air Agency,2700,0,10795,0,7552,0,10952,0,9009,0,13286,0
BP Cherry Point Refinery - Blaine,Refineries,Petroleum Refineries,Blaine,Whatcom,Northwest Clean Air Agency,2223518,0,2552655,0,2301576,0,2093437,0,2418086,0,2131918,0
Cardinal FG Company - Winlock,Minerals,Glass Production,Winlock,Lewis,Southwest Clean Air Agency,92356,0,102904,0,102813,0,105009,0,107291,0,107590,0
Cascade Natural Gas Corporation LDC - statewide,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,Kennewick,Benton,Benton Clean Air Agency,12622,0,12940,0,13506,0,22852,0,23616,0,26227,0
Cathcart Landfill - Snohomish,Waste,Municipal Landfills,Snohomish,Snohomish,Puget Sound Clean Air Agency,27653,0,23893,0,22454,0,23520,0,17417,0,28273,0
Central Washington University - Ellensburg,Government,Education,Ellensburg,Kittitas,Ecology: Central Regional Office,13358,0,13451,0,13673,0,12838,0,12449,0,13669,0
CertainTeed Gypsum - Seattle,Manufacturing,Gypsum Manufacturing,Seattle,King,Puget Sound Clean Air Agency,35650,0,35465,0,36299,0,38141,0,47948,0,50452,0
Cheyne Landfill - Zillah,Waste,Municipal Landfills,Zillah,Yakima,Yakima Regional Clean Air Agency,30500,0,31807,0,33147,0,34450,0,35837,0,37331,0
City of Spokane Northside Landfill - Spokane,Waste,Municipal Landfills,Spokane,Spokane,Spokane Regional Clean Air Agency,10471,0,9883,0,,,,,,,,
City of Tacoma Solid Waste Facility - Tacoma,Waste,Municipal Landfills,Tacoma,Pierce,Puget Sound Clean Air Agency,31986,0,26643,0,20396,0,14812,0,14513,0,16417,0
ConAgra Foods Lamb Weston - Connell,Food Production,Potato Products,Connell,Franklin,Ecology: Eastern Regional Office,39714,0,39841,0,38810,0,36801,0,37212,0,35862,0
